dataset_index;horizon;regressor;mape;pocid;smape;rmse;msmape;mae;test;predictions;start_test;final_test;description
0;12;BEST_CATEGORY_EACH_SERIE;0.23565606851741416;63.63636363636363;0.2775966948574606;1832.1265965394357;0.2775941254678437;1516.4895562775;[5142.53, 5476.0, 5628.5, 8451.5, 7282.5, 6116.53, 5401.0, 6605.03, 5789.5, 4763.5, 5809.9, 5354.2];[4041.3610155399997, 4112.565885607999, 4154.6398285099995, 4301.721686186001, 4438.227479242001, 4521.563742717999, 4627.58504394, 4695.070194504, 4666.537924689999, 4648.779122752001, 4678.726188108, 4736.037212872];INICIO;2024-11-30;Models combined: statistical: ARIMA, catboost: DWT_catboost, rf: FT_rf, svr: FT_svr, naive: NaiveMovingAverage
1;12;BEST_CATEGORY_EACH_SERIE;0.07998485488116737;72.72727272727273;0.08438310783306709;1745.8521928540345;0.08438286946358282;1496.7693783426666;[17321.534, 18859.125, 15978.749, 17282.099, 17626.749, 17679.862, 16958.552, 20797.155, 19341.835, 18305.755, 19278.976, 17704.012];[16633.580937906, 17485.562965226, 16191.931258802, 16282.738433745999, 15973.894368984, 16251.145912725999, 16673.514985230002, 17518.744037676, 16939.988781304, 16692.076594772, 16527.489446789998, 16428.867254329998];INICIO;2024-11-30;Models combined: statistical: ARIMA, catboost: catboost, rf: CWT_rf, svr: ONLY_DWT_svr, naive: NaiveMovingAverage
2;12;BEST_CATEGORY_EACH_SERIE;0.034642928253543696;90.9090909090909;0.03360526243067233;4162.926760698432;0.03360524181721625;2746.5069937543326;[93130.2, 85161.9, 72440.6, 82384.8, 81450.828, 83151.625, 76231.5, 83911.1, 83812.025, 81287.9, 85070.866, 81789.2];[87321.035986342, 84762.74877009602, 83418.86270594799, 84505.859198182, 82065.590732914, 84209.791742132, 82588.94074794, 82736.86426763999, 83385.19650178599, 82888.929114382, 83674.354408086, 82810.671617504];INICIO;2024-11-30;Models combined: statistical: THETA, catboost: ONLY_FT_catboost, rf: ONLY_FT_rf, svr: FT_svr, naive: NaiveSeasonal
3;12;BEST_CATEGORY_EACH_SERIE;0.2280068351100849;81.81818181818181;0.2666254927034405;2643.613321993576;0.26662393920973076;2298.2078966514996;[7603.876, 6976.942, 6700.957, 9677.861, 8741.862, 9460.969, 10039.951, 10081.468, 10205.921, 10409.549, 11826.809, 10400.819];[7267.517290934001, 7096.998328162001, 6936.776948162, 7090.682449817999, 6688.8576907940005, 6834.156673563999, 6983.039186874, 7188.594135952, 7058.732369752, 7293.564026868, 7375.85769344, 7445.4649985099995];INICIO;2024-11-30;Models combined: statistical: ARIMA, catboost: CWT_catboost, rf: rf, svr: ONLY_CWT_svr, naive: NaiveMovingAverage
4;12;BEST_CATEGORY_EACH_SERIE;0.046644649217731;72.72727272727273;0.0473480208975302;2902.286361214078;0.04734797723980506;2573.945643074665;[58169.7, 57787.0, 47477.7, 50767.5, 52987.0, 54400.7, 50523.9, 57335.2, 56685.0, 55975.3, 60210.8, 54137.35];[55853.77406438, 53707.014049534, 50872.08500222, 51870.905941944, 51330.33958226, 52639.044533836, 53149.101215824, 54120.203070792006, 54476.513373862006, 54010.801566608, 54381.52630936001, 53404.477892459996];INICIO;2024-11-30;Models combined: statistical: THETA, catboost: ONLY_CWT_catboost, rf: ONLY_DWT_rf, svr: ONLY_DWT_svr, naive: NaiveSeasonal
5;12;BEST_CATEGORY_EACH_SERIE;0.268007142965086;45.45454545454545;0.2133576448395872;27.936243637887337;0.21324968098178132;21.385570905666665;[100.33, 79.59, 70.15, 103.42, 122.78, 61.93, 74.31, 146.05, 122.32, 122.5, 128.423, 107.25];[108.32563939399999, 114.50970657799999, 107.868055682, 118.01228119800001, 116.29714221600003, 121.44976033200001, 117.99943117799998, 124.293570774, 123.33624336, 128.889108614, 126.728458362, 128.102795884];INICIO;2024-11-30;Models combined: statistical: THETA, catboost: catboost, rf: DWT_rf, svr: svr, naive: NaiveMovingAverage
6;12;BEST_CATEGORY_EACH_SERIE;0.3410438037012929;81.81818181818181;0.43515290869424544;4426.715899832893;0.4351504161958471;3827.3490617059997;[6366.518, 6620.585, 5717.92, 11246.235, 10922.87, 12106.33, 12117.655, 13377.192, 11687.995, 10140.943, 10216.482, 9791.577];[6671.395935094, 6403.607670974, 6064.905479078, 6394.274600002, 6237.097362467999, 6405.58875465, 6323.448303824, 6360.49587572, 6320.36651218, 6105.869138759999, 6243.260242611999, 6157.530212510001];INICIO;2024-11-30;Models combined: statistical: ARIMA, catboost: ONLY_DWT_catboost, rf: rf, svr: svr, naive: NaiveMovingAverage
7;12;BEST_CATEGORY_EACH_SERIE;0.1433615964550564;54.54545454545455;0.1485630810952718;106.16509040141307;0.14854726885238903;72.15661981433333;[386.418, 364.438, 321.313, 404.599, 407.296, 410.125, 427.097, 439.507, 412.189, 514.152, 634.639, 741.093];[437.19934099399995, 429.457090848, 421.309987224, 451.19119760199993, 424.909946698, 436.52882251399996, 429.313903234, 431.16866382399996, 450.105288436, 461.92306676, 459.071471974, 457.88893722];INICIO;2024-11-30;Models combined: statistical: THETA, catboost: FT_catboost, rf: FT_rf, svr: FT_svr, naive: NaiveMovingAverage
8;12;BEST_CATEGORY_EACH_SERIE;0.25396264725001527;54.54545454545455;0.295818807767588;492.4291080587238;0.29580848585757924;437.53641281066666;[1167.948, 1141.0, 1155.5, 1387.44, 1392.5, 1585.0, 1500.474, 1933.403, 2023.0, 1862.222, 2144.0, 2088.56];[943.3840830420002, 973.5878876939998, 964.049274456, 1048.2907297719998, 1111.7553222459999, 1202.00262469, 1263.114363254, 1268.416574164, 1359.1940052619998, 1336.6688470220001, 1321.961954608, 1338.1843800620002];INICIO;2024-11-30;Models combined: statistical: THETA, catboost: DWT_catboost, rf: rf, svr: ONLY_DWT_svr, naive: NaiveMovingAverage
9;12;BEST_CATEGORY_EACH_SERIE;0.03517630766667767;81.81818181818181;0.034834188432624286;10150.875400150644;0.03483417966528965;6943.007688236333;[228339.225, 199492.058, 175701.533, 194692.41, 196841.09, 200933.679, 185958.712, 196822.054, 201842.237, 197060.802, 206613.169, 201264.663];[205787.381886144, 198517.394384794, 195690.270102528, 199355.35195836, 199723.418695392, 202489.187114618, 201154.46765445202, 199338.259646548, 199325.026625156, 199146.07895982798, 199987.123193, 199505.08778379599];INICIO;2024-11-30;Models combined: statistical: ETS, catboost: ONLY_FT_catboost, rf: ONLY_FT_rf, svr: ONLY_FT_svr, naive: NaiveMovingAverage
10;12;BEST_CATEGORY_EACH_SERIE;0.2092408220285276;81.81818181818181;0.2401702972337644;1476.2777337777284;0.24016801909880056;1281.1322360376664;[5625.567, 6783.716, 5008.254, 5615.356, 4909.244, 4752.982, 5097.467, 7213.568, 6165.6, 5506.892, 6461.464, 7175.346];[5442.974411090001, 5766.621006661999, 4499.69925865, 4458.609129044, 4251.346641914, 4032.899909581999, 3949.3255243160006, 4628.243804111999, 4386.322018688001, 4295.884936082, 4567.99150215, 4661.951025257999];INICIO;2024-11-30;Models combined: statistical: THETA, catboost: ONLY_DWT_catboost, rf: rf, svr: ONLY_DWT_svr, naive: NaiveSeasonal
11;12;BEST_CATEGORY_EACH_SERIE;0.4499020542233861;45.45454545454545;0.5854107175806822;10458.255910660471;0.5854090179841542;10175.936841837332;[17258.9, 20099.11, 20111.65, 22643.799, 22991.73, 22624.25, 21174.728, 22718.51, 21840.93, 21786.804, 27069.8, 27739.497];[12615.944011672, 11623.501213292, 10182.807465594, 10556.623367732001, 11278.300312422001, 11625.087120462002, 12209.871167606, 12435.825662140001, 12303.017288751998, 13476.399550976003, 14209.588626936, 13431.500110368];INICIO;2024-11-30;Models combined: statistical: THETA, catboost: DWT_catboost, rf: ONLY_DWT_rf, svr: ONLY_CWT_svr, naive: NaiveMovingAverage
12;12;BEST_CATEGORY_EACH_SERIE;30.455158262695235;27.272727272727273;0.9785168847444429;2191.595536566242;0.978480640402389;1821.5661303008335;[2101.917, 4194.392, 4443.881, 3153.49, 1398.42, 680.292, -3.036, 2000.117, 2160.356, 1995.957, 4128.637, 4555.324];[905.178903796, 806.50302791, 753.032608584, 832.9256502380001, 1139.2591786159999, 991.965683868, 1086.485275586, 1092.656932948, 858.6958821960001, 1085.427840858, 952.4352860060001, 1248.7770846919998];INICIO;2024-11-30;Models combined: statistical: ETS, catboost: catboost, rf: ONLY_DWT_rf, svr: DWT_svr, naive: NaiveMovingAverage
13;12;BEST_CATEGORY_EACH_SERIE;0.1954193437065086;72.72727272727273;0.18718669360752835;262.94142672346607;0.18717926632922255;240.8356782966667;[1538.816, 1571.309, 995.827, 1023.26, 915.526, 991.48, 1137.634, 1536.644, 1064.786, 1404.579, 1540.144, 1884.46];[1335.4066103379998, 1427.0232955019997, 1267.323372688, 1285.707730412, 1218.8941477540002, 1288.236320402, 1270.855193934, 1311.178441468, 1312.5112102839998, 1311.4214675899998, 1351.66686214, 1364.242158876];INICIO;2024-11-30;Models combined: statistical: ETS, catboost: CWT_catboost, rf: FT_rf, svr: ONLY_FT_svr, naive: NaiveMovingAverage
14;12;BEST_CATEGORY_EACH_SERIE;0.044543718300877576;72.72727272727273;0.045332648702536275;1928.531944939668;0.04533258589424228;1638.803461923834;[39591.8, 36888.912, 32664.5, 35135.5, 36271.5, 35768.852, 33415.501, 36281.4, 36915.5, 36540.0, 39918.4, 36132.689];[36699.419914734, 35309.632468406, 34725.227972174, 35576.940711526004, 34551.49112367, 35586.375127496, 35197.59553521, 34770.540090840004, 35514.74824564999, 35236.667359242, 35828.844055098, 35429.956290688];INICIO;2024-11-30;Models combined: statistical: THETA, catboost: ONLY_FT_catboost, rf: ONLY_FT_rf, svr: ONLY_FT_svr, naive: NaiveSeasonal
15;12;BEST_CATEGORY_EACH_SERIE;0.044979713026482654;63.63636363636363;0.045420371433350946;2393.9596692598375;0.04542031867665177;1959.346651707668;[45987.0, 45178.0, 38166.5, 42286.0, 42651.5, 42108.0, 39827.502, 43207.0, 45114.5, 43982.0, 48169.3, 45040.7];[44934.234964698, 43238.493865352, 41827.04656686001, 42747.57515463, 41544.492707772, 42166.321932508006, 42360.750308345996, 42100.86413085, 42649.533363418, 42556.907199808, 42967.78358674199, 42539.222323212];INICIO;2024-11-30;Models combined: statistical: ETS, catboost: DWT_catboost, rf: ONLY_FT_rf, svr: DWT_svr, naive: NaiveSeasonal
16;12;BEST_CATEGORY_EACH_SERIE;0.1336145456846376;45.45454545454545;0.14579296202357298;17536.107956750402;0.1457928934326265;15509.429425971175;[120572.463, 114300.957, 108673.707, 124166.409, 120081.922, 116133.254, 103861.919, 107601.287, 106660.659, 106643.284, 117849.72, 115866.616];[103253.676292884, 99165.33233688399, 93634.882405142, 91656.352315856, 91805.93665840001, 94774.481622926, 94959.395344008, 98287.47846001599, 100200.22828866399, 103218.526192394, 103240.567499338, 102102.186471834];INICIO;2024-11-30;Models combined: statistical: THETA, catboost: FT_catboost, rf: DWT_rf, svr: DWT_svr, naive: NaiveMovingAverage
17;12;BEST_CATEGORY_EACH_SERIE;0.12060146919382685;72.72727272727273;0.11234140720315396;98240.68863808659;0.11234140020154319;90226.12974672718;[868003.888, 760665.314, 683361.59, 776129.554, 774072.69, 786170.773, 765536.187, 791770.669, 819095.114, 750294.343, 753049.757, 701210.162];[891348.482737574, 844206.55310199, 843690.73005447, 874701.954833932, 863294.550074148, 896527.9260099421, 850336.930648692, 843699.7444497881, 854262.788270954, 849993.0899669139, 848829.7120397979, 851181.135772524];INICIO;2024-11-30;Models combined: statistical: THETA, catboost: FT_catboost, rf: FT_rf, svr: ONLY_FT_svr, naive: NaiveMovingAverage
18;12;BEST_CATEGORY_EACH_SERIE;2.3524051046396288e+17;54.54545454545455;1.3640982688425811;4701.81111389338;1.3640149414854896;3346.533036014167;[0.0, 616.76, 636.75, 1381.48, 2077.19, 44.46, 1372.93, 9928.933, 7029.98, 5002.95, 8352.29, 7760.64];[626.8066345, 429.52750695800006, 442.890265862, 355.93762857800004, 430.788878574, 448.865466464, 482.425124624, 732.830531978, 888.290083698, 447.9172232579999, 425.50306972400006, 396.60835554];INICIO;2024-11-30;Models combined: statistical: ARIMA, catboost: ONLY_FT_catboost, rf: FT_rf, svr: svr, naive: NaiveMovingAverage
19;12;BEST_CATEGORY_EACH_SERIE;0.22823408824215666;54.54545454545455;0.19337514902709094;543.666094640857;0.19337099362558918;455.0440273006668;[2163.45, 2173.7, 3126.46, 1914.25, 2419.39, 1412.38, 2655.25, 2235.73, 2730.61, 2109.89, 2365.77, 2336.09];[2726.470957418, 2806.564250618, 2620.869473186, 2585.388189366, 2598.817977118, 2599.74933772, 2606.7460080439996, 2585.265790488, 2644.908905464, 2682.675925444, 2682.587838484, 2683.862447646];INICIO;2024-11-30;Models combined: statistical: ARIMA, catboost: catboost, rf: rf, svr: svr, naive: NaiveMovingAverage
20;12;BEST_CATEGORY_EACH_SERIE;0.07117688320591137;90.9090909090909;0.0743726143113217;68623.59868094312;0.07437260985526208;62094.06851506347;[902707.043, 833596.031, 821232.526, 894427.795, 862594.276, 899209.875, 797496.864, 810041.219, 873363.838, 868765.928, 883228.442, 847121.538];[803135.402411436, 777424.346886758, 772685.976226506, 803356.679402242, 787033.2099459721, 804081.1764529741, 796725.077295554, 796577.4731859642, 803307.244707634, 801169.890790232, 807731.89856048, 795428.1769534859];INICIO;2024-11-30;Models combined: statistical: THETA, catboost: FT_catboost, rf: ONLY_DWT_rf, svr: ONLY_DWT_svr, naive: NaiveMovingAverage
21;12;BEST_CATEGORY_EACH_SERIE;0.03282334105575839;90.9090909090909;0.032507260489358335;2798.1895382170187;0.03250723473685244;2055.855156658167;[66438.25, 64691.38, 55857.819, 62027.08, 62540.48, 65534.578, 62149.2, 65551.58, 65961.83, 64065.649, 69331.88, 63412.89];[64543.135371026, 63581.634141017996, 62840.751842062, 63641.534237823995, 63286.437963116, 64108.390413792, 63835.921078092, 63920.019113496004, 63988.273745305996, 63832.46186077199, 64269.71638867001, 63721.56979288401];INICIO;2024-11-30;Models combined: statistical: ETS, catboost: ONLY_DWT_catboost, rf: FT_rf, svr: ONLY_FT_svr, naive: NaiveMovingAverage
22;12;BEST_CATEGORY_EACH_SERIE;0.3012507706773331;63.63636363636363;0.28561939865616387;1575.7113958582388;0.2856165950957741;1496.5538959111664;[6104.9, 6622.3, 6545.5, 7064.9, 7371.5, 7456.5, 6402.5, 3720.5, 3360.8, 3376.8, 4055.8, 3743.4];[5742.22801782, 5405.179502554, 5250.766384092, 5199.067518488, 5189.429404074001, 5266.688492906001, 5238.90886827, 5176.08491841, 5174.625097112001, 5177.315686153999, 5205.678374142, 5206.41086332];INICIO;2024-11-30;Models combined: statistical: ARIMA, catboost: catboost, rf: rf, svr: ONLY_DWT_svr, naive: NaiveMovingAverage
23;12;BEST_CATEGORY_EACH_SERIE;0.23363872742710132;90.9090909090909;0.2740449471392337;7066.592366671276;0.2740443446098549;6243.841276379332;[20119.877, 22131.712, 17783.232, 26770.561, 25219.023, 25380.999, 25745.164, 28370.032, 28193.649, 27062.239, 28467.133, 26658.228];[19953.003619821997, 20695.879027328, 18149.237429020002, 19196.574606062, 18032.269540792004, 18472.677364024003, 17813.706063742, 20039.942724558, 19233.76537801, 18480.149068870003, 18953.897182624, 18686.662536636002];INICIO;2024-11-30;Models combined: statistical: THETA, catboost: ONLY_CWT_catboost, rf: ONLY_CWT_rf, svr: CWT_svr, naive: NaiveMovingAverage
24;12;BEST_CATEGORY_EACH_SERIE;0.04061079901492574;72.72727272727273;0.04069964399577803;6272.204204925222;0.040699628478256276;5353.396203621498;[136535.604, 130203.352, 119883.392, 124277.7, 128084.084, 126681.92, 116577.927, 136392.083, 141165.591, 137401.268, 147696.713, 139358.25];[133012.29016401, 129775.98143146001, 124163.325605918, 130048.019785032, 125027.953331032, 128369.88367930199, 127970.82354866399, 129041.268949858, 132841.74887908399, 133676.457343218, 137135.74389229398, 135215.86018450203];INICIO;2024-11-30;Models combined: statistical: ARIMA, catboost: CWT_catboost, rf: CWT_rf, svr: svr, naive: NaiveMovingAverage
25;12;BEST_CATEGORY_EACH_SERIE;0.1817765155030732;54.54545454545455;0.16257754383714673;46.77709146464553;0.16254343031254884;39.295774564166656;[276.69, 298.452, 222.876, 210.569, 272.241, 263.033, 304.557, 321.341, 158.982, 222.557, 274.528, 182.559];[263.06975620800006, 267.360620608, 256.778365098, 260.748042504, 252.19064044399997, 254.48418168400002, 265.79759251400003, 271.39725928200005, 263.20297264199996, 253.28442937199998, 252.34126405799998, 250.87779995199998];INICIO;2024-11-30;Models combined: statistical: ETS, catboost: CWT_catboost, rf: DWT_rf, svr: ONLY_CWT_svr, naive: NaiveMovingAverage
26;12;BEST_CATEGORY_EACH_SERIE;0.3012464778114344;36.36363636363637;0.358252379929704;1607.0792448110544;0.3582481648329266;1537.8516205981662;[4186.236, 4512.728, 4839.92, 4891.95, 5060.2, 4736.2, 4535.3, 6615.44, 5292.582, 5030.61, 5424.676, 5283.0];[3422.4693128340004, 3156.56470085, 3044.4705127459997, 3134.0644191740002, 3102.56969408, 3260.8565192739998, 3495.137787882, 3968.8520449940006, 3867.172937974, 3931.938976204, 3879.340364214, 3691.185282596];INICIO;2024-11-30;Models combined: statistical: ETS, catboost: DWT_catboost, rf: CWT_rf, svr: DWT_svr, naive: NaiveMovingAverage
27;12;BEST_CATEGORY_EACH_SERIE;0.237890689170531;63.63636363636363;0.278623395370085;3476.461070914481;0.2786221308120156;3082.441417451167;[9061.167, 9325.62, 8293.7, 13492.45, 12816.885, 11618.311, 12587.974, 13162.713, 13713.076, 12910.696, 13751.396, 14025.423];[8550.743877984, 8720.497109198, 7936.613747403999, 9305.334837572002, 9111.227617288, 9338.974442962, 8984.698310868, 8799.861384552, 9516.571169666, 8842.00969524, 9426.596942804, 9236.984855047998];INICIO;2024-11-30;Models combined: statistical: ARIMA, catboost: ONLY_DWT_catboost, rf: DWT_rf, svr: CWT_svr, naive: NaiveMovingAverage
28;12;BEST_CATEGORY_EACH_SERIE;0.030301655684882814;100.0;0.030653670902439006;5531.723656668215;0.030653660219662784;4447.8904285793315;[145267.131, 125920.523, 115498.921, 130017.504, 126173.604, 142722.46, 144370.94, 162730.886, 167195.57, 156209.303, 160560.752, 149780.708];[140130.761642582, 128869.065995448, 120833.81910176801, 134357.63846021, 125493.85673076201, 138425.82014558004, 142761.536089298, 152015.273990066, 155957.374642894, 151966.60644534, 159443.631663622, 151496.03293567];INICIO;2024-11-30;Models combined: statistical: THETA, catboost: catboost, rf: rf, svr: DWT_svr, naive: NaiveSeasonal
29;12;BEST_CATEGORY_EACH_SERIE;0.28943916840806677;45.45454545454545;0.3494440576096797;2770.147054537728;0.3494415428486533;2448.8931670031666;[6491.43, 8362.277, 7094.168, 7966.004, 6306.932, 6667.493, 7079.256, 8682.55, 8211.473, 9548.152, 10322.171, 9275.348];[6098.39444876, 6370.118521836, 5821.067627878001, 5598.730877569999, 5280.568058286, 5244.870969628, 5064.352810424, 5271.614885398, 5376.264108396, 5318.005429875999, 5574.971403336, 5601.576854573999];INICIO;2024-11-30;Models combined: statistical: THETA, catboost: FT_catboost, rf: ONLY_DWT_rf, svr: CWT_svr, naive: NaiveSeasonal
30;12;BEST_CATEGORY_EACH_SERIE;0.14175731329197924;63.63636363636363;0.1385798666168482;233.55858432225205;0.13857419490547576;172.57385111916673;[1087.288, 1259.96, 1169.379, 1184.757, 1211.755, 1044.513, 1103.312, 1327.908, 1046.878, 846.224, 1618.711, 1737.941];[1265.400348344, 1264.9137590599998, 1204.7976969300003, 1228.330526828, 1201.8254474540001, 1207.9723657480001, 1205.7574224200002, 1236.514427768, 1225.6525531319999, 1219.257068658, 1233.1824568319998, 1233.677195636];INICIO;2024-11-30;Models combined: statistical: THETA, catboost: FT_catboost, rf: ONLY_DWT_rf, svr: FT_svr, naive: NaiveMovingAverage
31;12;BEST_CATEGORY_EACH_SERIE;0.748107870676526;72.72727272727273;0.43095482258408396;17.126249917238418;0.4302741832323577;14.365178261999995;[60.0, 20.0, 18.0, 50.0, 39.0, 54.0, 15.0, 58.0, 43.0, 27.0, 46.0, 10.0];[46.13982394, 39.870025512, 36.14073507, 45.68818545199999, 43.44476922, 44.63884513200001, 43.279388072, 44.711083744, 47.472092497999995, 44.20719024399999, 40.903036622, 44.048913418];INICIO;2024-11-30;Models combined: statistical: ETS, catboost: catboost, rf: ONLY_FT_rf, svr: FT_svr, naive: NaiveMovingAverage
32;12;BEST_CATEGORY_EACH_SERIE;0.7318848123025804;54.54545454545455;1.2261847021265673;329.8732579876778;1.2257091339124455;240.50835858400004;[70.0, 85.0, 50.0, 115.724, 90.0, 454.146, 430.484, 846.662, 486.026, 212.0, 283.5, 231.0];[34.53069978, 35.2200539, 34.971653244, 41.996441061999995, 39.176358044, 38.96724675, 40.676260462, 42.55145947999999, 42.794482044000006, 39.96320687, 38.550997078, 39.042838278];INICIO;2024-11-30;Models combined: statistical: THETA, catboost: ONLY_FT_catboost, rf: ONLY_FT_rf, svr: ONLY_FT_svr, naive: NaiveMovingAverage
33;12;BEST_CATEGORY_EACH_SERIE;0.06121884790476894;81.81818181818181;0.06384485346984238;62.14375046964987;0.06384067345698384;48.88504997483333;[863.968, 806.947, 738.002, 803.862, 760.335, 711.962, 714.685, 734.374, 734.931, 664.295, 768.115, 867.175];[757.445436576, 731.7144394, 714.249448956, 740.5252129940001, 711.9822257339999, 709.767316966, 727.367375144, 733.8364287439999, 704.7520419340001, 707.82908359, 717.9435744340001, 737.050733298];INICIO;2024-11-30;Models combined: statistical: ETS, catboost: CWT_catboost, rf: rf, svr: svr, naive: NaiveSeasonal
34;12;BEST_CATEGORY_EACH_SERIE;0.04350818918073409;54.54545454545455;0.04319518511168429;459.84030647783817;0.04319492855713605;365.9585867764999;[8408.84, 7804.226, 7525.529, 7259.227, 8189.988, 8270.913, 7851.882, 9242.031, 9893.182, 9020.286, 9430.044, 9160.01];[8744.22644266, 8207.251567857998, 7714.116598346, 8157.949247636, 8107.9014470580005, 8107.666947474, 8225.369352516002, 8577.744443418, 9040.754039964002, 8975.631666044, 9204.601448098, 9320.159824358];INICIO;2024-11-30;Models combined: statistical: ETS, catboost: catboost, rf: ONLY_DWT_rf, svr: FT_svr, naive: NaiveSeasonal
35;12;BEST_CATEGORY_EACH_SERIE;0.2074751009320364;54.54545454545455;0.19203944324911618;93.011426014911;0.19201416431798846;74.83738625416667;[399.513, 348.61, 349.826, 435.708, 316.27, 312.608, 600.669, 429.357, 309.077, 236.84, 457.616, 492.554];[389.397075728, 370.36846442200005, 368.956742176, 394.491966252, 398.647779162, 411.921153254, 418.089572684, 421.27946552599997, 419.290674528, 387.19689409, 397.810024668, 379.450967724];INICIO;2024-11-30;Models combined: statistical: ARIMA, catboost: ONLY_FT_catboost, rf: ONLY_CWT_rf, svr: ONLY_CWT_svr, naive: NaiveMovingAverage
36;12;BEST_CATEGORY_EACH_SERIE;0.081638004697455;72.72727272727273;0.07753452563823009;26737.7638229778;0.07753451282473563;23477.515461821007;[330842.064, 340269.29, 304661.387, 274675.815, 272891.511, 286430.812, 282565.838, 299661.694, 297024.037, 285282.033, 294760.479, 294199.089];[322215.916032304, 332534.677831546, 316116.978075144, 327637.302782236, 306289.912572348, 320135.229746124, 312678.304626212, 324336.875767148, 309122.502525408, 315783.35227414203, 312994.753455718, 312426.908581222];INICIO;2024-11-30;Models combined: statistical: ARIMA, catboost: catboost, rf: DWT_rf, svr: FT_svr, naive: NaiveMovingAverage
37;12;BEST_CATEGORY_EACH_SERIE;0.18837774147122766;54.54545454545455;0.18052608323951602;50.41150603015076;0.1804821336736536;40.58295554183333;[357.069, 457.392, 297.659, 222.518, 191.916, 156.305, 146.1, 154.092, 142.71, 121.405, 315.183, 241.365];[326.367057562, 405.056195354, 234.10746031399998, 248.34653132800003, 197.489112922, 163.367063418, 179.61443484199998, 160.439220226, 211.535445256, 173.11312811, 202.96446325800002, 270.693706888];INICIO;2024-11-30;Models combined: statistical: ETS, catboost: DWT_catboost, rf: ONLY_DWT_rf, svr: svr, naive: NaiveSeasonal
38;12;BEST_CATEGORY_EACH_SERIE;0.3089264437714877;36.36363636363637;0.368336331104346;3015.599586233398;0.3683339987425165;2919.4545932638334;[7616.938, 7938.137, 8618.96, 9255.602, 9433.928, 9697.82, 9208.834, 10031.216, 9320.077, 9633.534, 10537.74, 10410.703];[6118.147321418, 6429.208319912001, 6276.93569857, 6141.4065453620005, 5994.699097221999, 5931.229898196, 6166.123511518001, 6432.092255326001, 6631.812476101999, 6798.346791406, 6841.9133098639995, 6908.118655938];INICIO;2024-11-30;Models combined: statistical: ARIMA, catboost: ONLY_DWT_catboost, rf: ONLY_DWT_rf, svr: ONLY_DWT_svr, naive: NaiveMovingAverage
39;12;BEST_CATEGORY_EACH_SERIE;0.02801637432938926;81.81818181818181;0.027734306066592728;3462.994122938818;0.02773429281153082;2914.5587916651616;[95868.1, 91584.7, 94279.118, 107549.707, 105345.1, 105636.9, 103798.2, 114759.0, 113031.9, 107992.5, 117399.5, 107539.426];[97954.39502511799, 93642.87539415799, 101510.790428694, 110925.80512156998, 102932.792479892, 106694.021695998, 108323.91264086598, 111132.404129632, 112374.016715062, 110512.92476194799, 112501.23419015, 108063.578946366];INICIO;2024-11-30;Models combined: statistical: ARIMA, catboost: CWT_catboost, rf: rf, svr: svr, naive: NaiveSeasonal
40;12;BEST_CATEGORY_EACH_SERIE;0.03679796535023382;81.81818181818181;0.03689220183569434;5593.597311239169;0.036892186749361795;4521.3873561105;[134999.651, 125083.95, 108306.35, 119140.25, 119552.9, 122761.065, 116167.9, 123225.85, 128004.229, 124229.814, 133344.7, 123678.3];[127823.76788535, 121595.73205174398, 119197.06894761001, 121619.6634043, 118988.096673044, 123477.92384274797, 120609.96266315601, 119985.650979836, 121607.25961181, 121347.76550907602, 123171.73808033, 121871.788793298];INICIO;2024-11-30;Models combined: statistical: THETA, catboost: ONLY_FT_catboost, rf: ONLY_FT_rf, svr: ONLY_DWT_svr, naive: NaiveSeasonal
41;12;BEST_CATEGORY_EACH_SERIE;0.1372817510226718;45.45454545454545;0.1486323654014207;10467.174613658175;0.1486322520389622;9764.066359959828;[65449.434, 75298.064, 66040.259, 66128.672, 66337.408, 64473.094, 65919.689, 73265.099, 70575.006, 70957.086, 73466.007, 79282.803];[59077.481440938005, 60227.38392155401, 56304.074435392, 60230.545565060005, 59999.914564957995, 60114.35208263999, 58247.039635218, 61433.530840406005, 61451.73559493801, 60689.286661592, 59891.808754396, 62356.671183390004];INICIO;2024-11-30;Models combined: statistical: THETA, catboost: ONLY_CWT_catboost, rf: ONLY_CWT_rf, svr: ONLY_DWT_svr, naive: NaiveSeasonal
42;12;BEST_CATEGORY_EACH_SERIE;0.3138748817712103;54.54545454545455;0.2675104230352942;5.8453465782890195;0.26667800901832567;4.533048551333333;[28.0, 22.0, 15.0, 18.27, 17.597, 10.921, 16.684, 16.068, 11.66, 24.117, 24.837, 7.335];[17.740336742000004, 18.386369958, 15.394800382, 18.170008218, 18.678537888, 17.195292264, 17.343007986, 16.932876654, 17.657593368, 16.643412868000002, 16.930624976, 17.106226836];INICIO;2024-11-30;Models combined: statistical: ETS, catboost: CWT_catboost, rf: ONLY_CWT_rf, svr: ONLY_FT_svr, naive: NaiveMovingAverage
