representacao,RMSE,MAPE,POCID,PBE,derivado
ETS_normal,13687.552743562353,0.07793280205307009,70.9353421217828,1.056047407117536,gasolinac
ETS_deseasonal,13499.964468995304,0.07562498434238527,72.56748273697426,0.3908227121452751,gasolinac
arima_normal,15784.999296822829,0.08783150993627266,67.10608913998746,3.5131497517338213,gasolinac
catboost_normal,16760.572255487423,0.08814341131455233,65.2856246076585,0.5989138625484076,gasolinac
catboost_deseasonal,17147.929749980773,0.08672296749985549,69.9937225360954,1.7438143803157407,gasolinac
ridge_normal,16625.684050883818,0.08942948875775202,65.47394852479597,1.198942705127109,gasolinac
ridge_deseasonal,16445.540489153726,0.08667209637828968,69.80539861895794,1.824951463957082,gasolinac
SWT_ridge_normal,14875.340299508227,0.08291866507590988,66.0389202762084,-1.3731528239387276,gasolinac
SWT_ridge_deseasonal,13672.27431322724,0.07664039519271279,71.31198995605773,-0.3930030571642142,gasolinac
CWT_ridge_normal,15036.865557369114,0.0834604706957223,66.10169491525424,-1.2833667126233106,gasolinac
CWT_ridge_deseasonal,13701.764042682984,0.07685456148023635,71.12366603892025,-0.3339285556997222,gasolinac
DWT_ridge_normal,14890.01121425311,0.0828106606402092,66.66666666666666,-1.3675175535187583,gasolinac
DWT_ridge_deseasonal,13670.913085612501,0.07655127466953102,71.31198995605774,-0.4012399638698832,gasolinac
FIRTS_ridge_normal,14113.703802768714,0.08245644385840538,65.85059635907095,-2.808033125358392,gasolinac
FIRTS_ridge_deseasonal,13447.917138729326,0.07611068878801772,71.43753923414941,-0.9116404731332759,gasolinac
STFT_ridge_normal,14203.435399564674,0.08682518243837867,60.3892027620841,-2.884682426030529,gasolinac
STFT_ridge_deseasonal,13402.797218766573,0.07671973476381609,73.32077840552417,-0.584535778037794,gasolinac
RP_ridge_normal,14753.66203872208,0.08882173216653226,59.07093534212177,-3.1293396194203322,gasolinac
RP_ridge_deseasonal,13528.242874910125,0.07822272905213723,71.939736346516,-1.5111432502798623,gasolinac
MTF_ridge_normal,14713.489360890855,0.08794017705698227,58.254865034526055,-2.7753896026035476,gasolinac
MTF_ridge_deseasonal,13394.69232736789,0.07743626995425786,72.37915881983679,-1.5763409062825413,gasolinac
WPT_ridge_normal,14770.400814948951,0.08263011621195832,66.35279347143752,-1.4749477210524031,gasolinac
WPT_ridge_deseasonal,13645.37252599347,0.07652038209202142,70.93534212178277,-0.452380404564412,gasolinac
GASF_ridge_normal,14540.19887227108,0.08406528004010763,64.59510357815441,-2.4902049814305283,gasolinac
GASF_ridge_deseasonal,13417.371274742989,0.07649219124059638,73.82297551789077,-0.8969721691210202,gasolinac
GADF_ridge_normal,14311.174671697114,0.0822683902486407,68.23603264281229,-2.12375289258623,gasolinac
GADF_ridge_deseasonal,13393.332654724549,0.07606301982456534,73.32077840552417,-0.6848658333010081,gasolinac
